user_id,country,platform_tenure_days,last_30d_sessions,last_90d_spend,ps_plus_member,pre_30d_spend,spend_tier,engagement_tier,stratum,treatment,ps5_purchase_30d,revenue_60d,post_30d_sessions,unsubscribe_flag,optout_flag
1,DE,2691,12,16.53,0,15.66,S1_low,E4_vhigh,S1_low_E4_vhigh,1,0,51.29,9,0,0
2,US,3223,8,43.08,1,12.27,S2_mid,E2_mid,S2_mid_E2_mid,1,0,4.86,13,0,0
3,FR,2099,16,34.08,1,10.39,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,1,113.93,22,0,0
4,UK,1528,6,76.28,0,27.88,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,0.0,9,0,0
5,US,46,8,98.47,0,27.99,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,56.02,9,0,0
6,AU,2247,10,75.1,0,19.42,S3_high,E3_high,S3_high_E3_high,1,1,125.2,10,0,0
7,DE,3317,8,76.82,1,35.0,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,21.54,15,0,0
8,DE,539,7,40.55,1,9.58,S2_mid,E1_low,S2_mid_E1_low,1,0,21.84,5,0,0
9,US,914,7,66.3,1,30.28,S3_high,E1_low,S3_high_E1_low,1,0,67.77,11,0,0
10,US,1937,5,32.93,1,38.85,S2_mid,E1_low,S2_mid_E1_low,0,0,46.74,6,0,0
11,US,1961,7,28.79,0,4.33,S2_mid,E1_low,S2_mid_E1_low,0,1,103.51,7,0,0
12,JP,1564,9,67.45,1,19.42,S3_high,E2_mid,S3_high_E2_mid,1,1,139.68,8,0,0
13,UK,564,6,28.45,1,19.86,S2_mid,E1_low,S2_mid_E1_low,1,0,16.37,5,0,0
14,FR,1781,10,58.01,1,14.16,S3_high,E3_high,S3_high_E3_high,0,0,44.98,14,0,0
15,US,1854,3,102.35,1,31.51,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,34.32,2,0,0
16,US,697,11,95.76,1,18.48,S4_vhigh,E3_high,S4_vhigh_E3_high,0,1,147.61,17,0,0
17,CA,2231,6,161.38,1,38.48,S4_vhigh,E1_low,S4_vhigh_E1_low,0,1,167.97,7,0,0
18,US,3165,12,27.07,1,6.92,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,79.31,8,0,0
19,FR,345,11,27.21,1,8.63,S2_mid,E3_high,S2_mid_E3_high,1,0,1.77,8,0,0
20,UK,319,7,31.42,1,22.05,S2_mid,E1_low,S2_mid_E1_low,1,0,123.04,9,0,0
21,DE,2083,5,63.28,1,24.18,S3_high,E1_low,S3_high_E1_low,0,1,190.26,5,0,0
22,US,2857,10,14.79,0,17.49,S1_low,E3_high,S1_low_E3_high,0,0,43.5,14,0,0
23,AU,400,7,34.58,0,6.96,S2_mid,E1_low,S2_mid_E1_low,0,0,0.0,2,0,0
24,JP,3447,9,8.37,0,14.12,S1_low,E2_mid,S1_low_E2_mid,1,0,24.77,12,0,0
25,DE,1756,9,41.55,1,13.68,S2_mid,E2_mid,S2_mid_E2_mid,1,0,26.69,15,0,0
26,US,414,12,111.41,1,29.54,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,1,253.34,13,0,0
27,US,1649,9,24.36,1,11.7,S2_mid,E2_mid,S2_mid_E2_mid,1,0,38.44,11,0,0
28,US,1599,12,57.57,1,27.28,S3_high,E4_vhigh,S3_high_E4_vhigh,1,1,157.69,13,0,0
29,US,1443,10,15.19,1,8.69,S1_low,E3_high,S1_low_E3_high,1,0,19.89,10,0,0
30,UK,2147,11,45.23,0,25.35,S3_high,E3_high,S3_high_E3_high,1,0,64.14,10,0,0
31,DE,923,5,16.61,1,20.34,S1_low,E1_low,S1_low_E1_low,0,0,4.57,2,0,0
32,AU,3618,12,76.64,0,11.65,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,1,170.01,17,0,0
33,US,1064,7,45.71,0,17.32,S3_high,E1_low,S3_high_E1_low,0,0,16.66,7,0,0
34,US,3162,9,67.37,1,19.95,S3_high,E2_mid,S3_high_E2_mid,1,0,28.47,11,0,0
35,US,2993,8,118.23,1,21.84,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,72.94,7,0,0
36,US,1529,8,19.4,0,29.44,S1_low,E2_mid,S1_low_E2_mid,0,0,0.0,6,0,0
37,US,728,7,34.07,1,13.42,S2_mid,E1_low,S2_mid_E1_low,1,0,16.09,14,0,0
38,US,3533,4,37.51,0,18.05,S2_mid,E1_low,S2_mid_E1_low,1,0,34.41,3,0,0
39,US,2103,9,121.18,1,29.24,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,19.0,6,0,0
40,UK,1229,12,56.1,1,11.39,S3_high,E4_vhigh,S3_high_E4_vhigh,0,0,63.5,13,0,0
41,US,576,9,53.7,0,12.46,S3_high,E2_mid,S3_high_E2_mid,0,0,79.09,4,0,0
42,FR,1260,12,3.78,0,3.6,S1_low,E4_vhigh,S1_low_E4_vhigh,1,0,48.58,13,0,0
43,UK,2391,8,40.86,1,21.1,S2_mid,E2_mid,S2_mid_E2_mid,0,0,32.73,7,0,0
44,US,1862,8,81.54,0,25.85,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,54.88,16,0,0
45,FR,271,10,48.87,0,9.51,S3_high,E3_high,S3_high_E3_high,0,0,67.87,9,0,0
46,FR,2852,6,17.08,0,15.15,S1_low,E1_low,S1_low_E1_low,1,0,8.75,15,0,0
47,US,1193,9,268.6,0,59.3,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,1,158.79,11,0,0
48,US,725,12,158.14,0,43.04,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,26.82,14,0,0
49,UK,2563,8,99.3,0,26.17,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,0.0,11,0,0
50,US,2717,10,54.27,0,19.51,S3_high,E3_high,S3_high_E3_high,0,0,8.48,7,0,0
51,US,3005,7,42.01,0,14.24,S2_mid,E1_low,S2_mid_E1_low,1,0,0.0,6,0,0
52,US,39,3,64.59,1,42.42,S3_high,E1_low,S3_high_E1_low,1,0,47.11,3,0,0
53,DE,1432,6,27.18,0,16.01,S2_mid,E1_low,S2_mid_E1_low,0,0,65.3,8,0,0
54,UK,980,6,68.04,0,0.0,S3_high,E1_low,S3_high_E1_low,0,0,23.63,12,0,0
55,UK,2131,8,72.76,1,18.1,S3_high,E2_mid,S3_high_E2_mid,1,1,200.23,10,0,0
56,DE,3557,15,33.55,1,4.4,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,0.0,18,0,0
57,US,463,9,225.49,0,59.91,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,87.47,8,0,0
58,CA,2406,5,19.13,1,4.39,S1_low,E1_low,S1_low_E1_low,0,0,18.84,5,0,0
59,US,1638,6,21.99,0,6.4,S1_low,E1_low,S1_low_E1_low,0,0,22.72,6,0,0
60,US,1704,10,83.68,0,12.6,S4_vhigh,E3_high,S4_vhigh_E3_high,0,1,175.87,6,0,0
61,UK,3439,11,64.5,1,11.36,S3_high,E3_high,S3_high_E3_high,1,0,46.08,3,0,0
62,US,2678,4,2.73,0,15.6,S1_low,E1_low,S1_low_E1_low,0,0,63.22,3,0,0
63,CA,372,7,75.67,1,22.16,S3_high,E1_low,S3_high_E1_low,0,0,63.44,8,0,0
64,DE,1605,10,27.52,1,8.64,S2_mid,E3_high,S2_mid_E3_high,1,0,0.0,14,0,0
65,UK,2717,7,43.41,0,11.61,S2_mid,E1_low,S2_mid_E1_low,0,0,29.71,5,0,0
66,CA,416,7,32.72,1,24.48,S2_mid,E1_low,S2_mid_E1_low,0,1,177.22,7,0,0
67,CA,1861,12,41.92,1,16.55,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,19.3,10,0,0
68,US,1831,8,68.72,0,16.22,S3_high,E2_mid,S3_high_E2_mid,0,0,55.93,10,0,0
69,US,295,15,118.14,1,47.91,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,0,40.64,28,0,0
